substituent,canonical_smiles,DV_C,DV_n,examples
OCH2CH=CH2,CCC(=O)C1=CC=CC=C1,0.087,-4.8,1291
cyclopropyl,CCC(=O)C1=CC=CC=C1,-1.858,-2.4,1291
C(Me)=CH2,CC=CC1=CC=CC=C1,-0.164,-0.5,1284
C6H4-4OMe,C1=CC=C(C=C1)C(C2=CC=CC=C2)O,-1.231,-2.0,1283
CH(OH)C6H5,C1=CC=C(C=C1)C(C2=CC=CC=C2)O,-1.168,-1.0,1283
SC6H4-4NO2,C1=CC=C(C=C1)C=CC=C2C(=O)NC(=O)S2,15.775,16.3,1281
OC6H5,C1=CC=C(C=C1)C2=CC=CC=C2O,3.664,0.0,1276
COMe,CC(=O)C1=CC=CC=C1,7.68,9.7,1183
OCOMe,C1=CC=C(C=C1)CC(=O)O,1.405,1.5,1176
CH=CHC6H5,C1=CC=C(C=C1)C=CC2=CC=CC=C2,-0.791,0.7,1163
1-PYRRYL,C1=CC=C2C(=C1)C=CC=C2N,6.654,4.054,1143
SOC6H4-4NO2,C1=CC=C(C=C1)S(=O)C2=CC=C(C=C2)[N+](=O)[O-],17.03,16.2,1035
C6H4-4Me,C1=CC=C(C=C1)CC2=CC=CC=C2,-0.54,-1.2,1009
COC6H5,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,6.613,8.4,998
SO2Me,CS(=O)(=O)C1=CC=CC=C1,16.026,16.8,995
CH2CH2C6H5,CC1=CC=C(C=C1)C2=CC=C(C=C2)C,-2.36,-3.1,989
4-PYRIDYL,C1=CC=C(C=C1)C2=CC=CC=N2,6.358,6.101,981
OSO2Me,CC1=CC=C(C=C1)S(=O)(=O)O,7.68,6.3,954
Me,CC1=CC=CC=C1,-2.109,-3.3,951
NHMe,C1=CC=C(C=C1)CN,-5.121,-11.2,939
CH=CH2,C=CC1=CC=CC=C1,1.405,1.0,913
C(C6H5)3,C1C2C3C4CC5C46C37C28C1C9C81C72C63C5C4C33C22C11C9CC1C2C3C4,-1.329,-1.51,903
OCOC6H5,CC#CC#CC=C1C=CC2(O1)CC=CO2,1.091,2.3,891
SCHMe2,C1C2C=CC1C3C2CSC3,-0.854,4.1,889
SCOMe,C=CS(=O)C1=CC=CC=C1,12.01,12.3,881
SOC6H5,C1=CC=C(C=C1)SC2C3C4C3C4C2=O,9.249,8.5,847
NO2,C1=CC(=CN=C1)C(=O)O,19.917,21.2,839
NH2,C1=CC=C(C=C1)N,-3.239,-9.0,838
2-pyrimidinyl,C1=CC=C(C=C1)C2=NC=NC=C2,-0.667,1.033,837
3-PYRIDAZINYL,C1=CC=C(C=C1)C2=NC=NC=C2,3.193,4.615,837
4-pyrimidinyl,C1=CC=C(C=C1)C2=NC=NC=C2,5.311,7.006,837
NHCN,C1=CC=C2C(=C1)NC=N2,10.567,5.9,829
ONO2,C1=CC(=CC=C1[N+](=O)[O-])O,14.018,13.4,825
SOMe,CS(=O)C1=CC=CC=C1,10.441,9.6,809
CH=CHCHO,C1=CC=C(C=C1)C=CC=O,5.17,8.1,799
COOH,C1=CC=C(C=C1)C(=O)O,8.559,10.9,789
N=CHC6H5,CN1C2=CC=CC=C2C3=CC=CC=C31,0.275,-1.3,784
NHCSMe,C1C2CC(C1C=C2)N=C=S,3.79,3.1,783
SCH2CH=CH2,CC1C(S1)C2=CC=CC=C2,7.115,4.8,766
1-AZIRIDINYL,C1C2CC(C1C=C2)C#N,-1.675,-5.566,761
NHCOCF3,C1=CC=C(C=C1)C(=NO)C(F)(F)F,10.943,8.2,751
CH=NOH,C1=CC=C(C=C1)C(=O)N,4.08,4.717,730
NHCHO,C1=CC=C(C=C1)C(=O)N,5.17,1.3,730
N3,C1=CC=C(C=C1)N=[N+]=[N-],4.543,5.4,707
N(SO2Me)2,C1C(O1)COC(=S)NC2CS(=O)(=O)C=C2,10.253,10.8,696
CH2SCN,CC1=NC2=CC=CC=C2S1,11.006,9.6,695
CSNH2,C1=CC=C(C=C1)C(=S)N,8.308,9.2,685
2-furyl,C1=CC=C2C=C(C=CC2=C1)O,1.453,0.183,677
CH2CH=CH2,CC=CC1=CC=CC=C1,-0.917,-1.6,670
SEt,CSCC1=CC=CC=C1,1.028,-2.2,628
SO2CN,C1=CC=C(C=C1)S(=O)(=O)C#N,27.007,28.3,603
OCH=CH2,CC(=O)C1=CC=CC=C1,1.154,0.7,602
OXIRANYL,CC(=O)C1=CC=CC=C1,2.553,1.355,602
N(Me)SO2CF3,C1C(NOC1(C(F)(F)F)O)C2=CC=CS2,11.884,11.2,578
S(O)OH,C1=CSC2C1C2C(=O)O,14.834,15.0,549
C6H4-4NO2,C1=CC(=CC=C1C(=O)O)[N+](=O)[O-],10.378,10.2,533
Si(OEt)3,CC1C2C=CC(O2)(C(C1=O)C)O[Si](C)(C)C,-0.227,0.8,532
CH2CN,C1=CC=C2C(=C1)C=CN2,7.868,6.7,526
PO(OPr)2,CCOP(=O)(C(C)C1=CC=CC=C1)OCC,6.927,8.6,517
CH2C6H5,C1=CC=C(C=C1)CC2=CC=CC=C2,-0.917,-1.8,511
PO(OEt)2,CCOP(=O)(C1=CC=CC=C1)OCC,6.111,7.8,508
S(O)OMe,CS(=O)(=O)C1=CC=CC=C1,10.378,10.7,503
2-PYRIDYL,C1=CC=C(C=C1)C2=CC=CC=N2,0.512,0.254,494
3-PYRIDYL,C1=CC=C(C=C1)C2=CC=CC=N2,4.685,4.054,494
CH2PO(OEt)2,CCOP(=O)(CC1=CC=CC=C1)OCC,-1.544,-2.0,493
CH2OSi(CH3)3,C[Si](C)(C)C(C1=CC=CC=C1)O,-3.678,-4.8,470
OCF2CHFCl,C1=CC(=CC=C1C(C(F)(F)F)O)Cl,11.759,10.0,454
C≡CMe,C1C=CC2=CC=CC=C21,0.777,1.3,442
CH=CHCN,C1=CC=C2C(=C1)C=CC=N2,13.202,13.9,440
OCH2Cl,C1C2C=CC1C(=O)C2Cl,0.715,2.2,432
OCF2CHF2,C1=CC2C3C(C1O2)C(C3(F)F)(F)F,11.947,10.1,427
PO(OC4H9)2,CCC(C)OP(=O)(C1=CC=CC=C1)OC(C)CC,7.115,8.7,422
CH=C(CN)2,C1=CC2(C3C2C1C(=C3)C#N)C#N,20.23,22.8,419
NO,C1=CC=C(C=C1)N=O,16.277,19.2,416
S(OMe),CS(=O)C1=CC=CC=C1,5.045,3.2,409
NHSO2CF3,C1=CC(=C(C=C1S(=O)C(F)(F)F)N)O,9.876,10.3,406
CHO,C1=CC=C(C=C1)C=O,11.445,13.8,403
OCN,C1=CC(=CC=C1C#N)O,18.034,14.2,401
