text,DV_C,DV_n
[C][C][C][Branch1][P][C][C][Ring1][Ring1][C][C][Ring1][=Branch1][C][Ring1][Branch1][C][Ring1][Ring1][Ring1][Branch1][C],-2.736571110000734,-3.9
[C][C][C][=C][Branch1][Branch2][C][=C][C][C][Ring1][=Branch1][C][C][=C],-2.234563110000789,-2.9
[C][C][#C][C][N][C][C][C][C][C][C][C][Ring1][=Branch1][C][Ring1][Branch1],-1.418800110000461,-2.4
[C][N][C][=C][C][=C][C][=Branch1][N][=N][C][=Branch1][C][=O][C][Ring1][#Branch1][=C][Ring1][O][C][=C][C][=C][C][Ring1][Branch1],4.228789889999753,4.3
[C][C][C][=C][C][=C][C][=Branch1][Ring2][=N][Ring1][=Branch1][C],-5.497615109999872,-11.4
[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][N+1][=Branch1][#Branch2][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=O][O-1],8.49585788999984,8.1
[C][C][O][C][C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C],-1.3560491100006071,-6.2
[C][C][=C][C][=C][N][Ring1][Branch1][C][C][C][O][C][Ring1][Branch1][=O],0.71473389000014,-3.0
[C][C][=C][C][C][Branch1][N][C][=Branch1][C][=O][C][=Branch1][Ring2][=C][Ring1][#Branch1][C][Branch1][C][C][C],-1.3560491100006071,-6.2
[C][C][=C][C][=C][Branch1][Ring2][C][Ring1][Branch1][C][=C][Branch1][#Branch2][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][N][=C][Ring1][N][N],-3.5523341099999475,-6.6
[C][C][Branch1][=Branch2][C][=C][C][=N][C][=C][Ring1][=Branch1][N][Branch1][C][C][C][=O],-1.9208081100004053,-5.8
[C][C][=Branch2][Ring1][C][=C][C][C][C][C][Ring1][Branch1][C][C][Ring1][=Branch1][C][Ring1][Branch1][O][Ring1][Ring2][C],5.672062889999733,7.6
[C][C][=C][C][=Branch1][=Branch1][=N][C][=C][Ring1][=Branch1][C][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1],-1.98355911000026,-3.8
