cid,substituent,canonical_smiles,DV_C,DV_n
7236,CH2Br ,CC1=CC=CC=C1Br,5.734813889999587,2.9
7237,Et ,CC1=CC=CC=C1C,-2.7993221100005874,-4.0
7238,CH2Cl                                        ,CC1=CC=CC=C1Cl,4.040536890000192,2.7
7241,CH2F,CC1=CC=CC=C1F,4.919050889999259,1.8
7242,CH2NH2,CC1=CC=CC=C1N,-2.9875751100001486,-3.5
7243,NHNH2 ,C1=CC=C(C(=C1)N)N,-5.874121110000109,-11.2
7247,CH2CH2CH3,CC1=CC(=C(C=C1)C)C,-2.171812109999821,-3.1
7248,NHEt ,CC1=C(C=C(C=C1)N)C,-5.497615109999872,-11.4
7249,CH(OH)Me ,CC1=C(C=C(C=C1)O)C,3.4130268899994247,1.0
7250,NHEt ,CC1=CC(=C(C=C1)N)C,-5.497615109999872,-11.4
7254,CHCl2,CC1=C(C=C(C=C1)Cl)Cl,9.813628890000112,10.0
7256,CHCl2,CC1=CC(=C(C=C1)Cl)Cl,9.813628890000112,10.0
7259,NHEt ,CC1=CC(=C(C=C1)C)N,-5.497615109999872,-11.4
7267,CH(OH)Me ,CC1=CC(=C(C=C1)C)O,3.4130268899994247,1.0
7269,CH2CH(me)2,CC1=CC(=C(C=C1C)C)C,-2.109061109999967,-3.0
7276,COMe ,C1C(O1)C2=CC=CC=C2,7.680094889999512,9.7
7366,CH2CH(me)2,CC(C)(C)C1=CC=CC=C1,-2.109061109999967,-3.0
7367,CCl3,C1=CC=C(C=C1)C(Cl)(Cl)Cl,11.319652889999947,11.7
7368,CF3 ,C1=CC=C(C=C1)C(F)(F)F,13.64143989000011,13.7
7369,SO2Cl ,C1=CC=C(C=C1)S(=O)(=O)Cl,24.24635888999992,25.2
7370,SO2NH2,C1=CC=C(C=C1)S(=O)(=O)N,17.092744889999867,17.5
7372,SiCl3,C1=CC=C(C=C1)[Si](Cl)(Cl)Cl,12.762925889999927,14.4
7376,OCF3,C1=CC(=CC(=C1)O)C(F)(F)F,12.009913889999453,8.3
7379,O(CH2)4CH3,CC1=C(C=CC(=C1)C(C)(C)C)O,-1.3560491100006071,-6.2
7390,CH2C(Me)3,CC1=CC=C(C=C1)C(C)(C)C,-2.234563110000789,-2.9
7393,CH2C(OH)(Me)2,CC(C)(C)C1=CC=C(C=C1)O,-3.2385791100006784,-3.7
7406,CH2CH2CH3,CC(C)C1=CC=CC=C1,-2.171812109999821,-3.1
7407,C(Me)=CH2,CC(=C)C1=CC=CC=C1,-0.1637801100000418,-0.5
7408,NHEt ,CC(C1=CC=CC=C1)N,-5.497615109999872,-11.4
7409,CH(OH)Me ,CC(C1=CC=CC=C1)O,3.4130268899994247,1.0
7410,COMe ,CC(=O)C1=CC=CC=C1,7.680094889999512,9.7
7411,CHCl2,C1=CC=C(C=C1)C(Cl)Cl,9.813628890000112,10.0
7412,COCl ,C1=CC=C(C=C1)C(=O)Cl,16.27698188999954,19.1
7416,NO2 ,C1=CC=C(C=C1)[N+](=O)[O-],19.91653988999997,21.2
7417,CH2CONH2,CC(=O)C1=CC(=CC=C1)N,7.491841889999951,6.7
7418,COOMe ,CC1=CC(=CC=C1)C(=O)O,6.04856888999997,8.2
7423,NHNO2,C1=CC(=CC(=C1)[N+](=O)[O-])N,12.825676889999782,11.0
7426,NHCOOMe ,CC1=CC(=CC(=C1)[N+](=O)[O-])C,1.3422438899997922,-2.4
7435,COOEt ,CC1=CC(=CC=C1)C(=O)OC,5.35830788999935,7.5
7439,CH2C(OH)(Me)2,CC1=CCC(CC1=O)C(=C)C,-3.2385791100006784,-3.7
7440,NHCOOMe ,CC1=C(C=C(C=C1)[N+](=O)[O-])C,1.3422438899997922,-2.4
7453,CH2C(OH)(Me)2,CCC(C)C1=CC=C(C=C1)O,-3.2385791100006784,-3.7
7455,COOEt ,CC1=CC=C(C=C1)C(=O)OC,5.35830788999935,7.5
7463,CH2CH(me)2,CC1=CC=C(C=C1)C(C)C,-2.109061109999967,-3.0
7464,CH2NMe2,CC(C)C1=CC=C(C=C1)N,-2.109061109999967,-2.6
7465,CH2CH(OH)Me ,CC(C)C1=CC=C(C=C1)O,1.2167418900000848,0.3
7468,CH2CONH2,CC(=O)C1=CC=C(C=C1)N,7.491841889999951,6.7
7469,COOMe ,CC(=O)C1=CC=C(C=C1)O,6.04856888999997,8.2
7470,COOMe ,CC1=CC=C(C=C1)C(=O)O,6.04856888999997,8.2
7471,CH2NMe2,CC1=CC=C(C=C1)N(C)C,-2.109061109999967,-2.6
7475,NHNO2,C1=CC(=CC=C1N)[N+](=O)[O-],12.825676889999782,11.0
7476,COOEt ,CC(=O)C1=CC=C(C=C1)OC,5.35830788999935,7.5
7479,CH2NHCOMe,CN(C)C1=CC=C(C=C1)C=O,3.852283889999516,2.5
7480,NHCOOMe ,CCC1=CC=C(C=C1)[N+](=O)[O-],1.3422438899997922,-2.4
7481,CH=CHNO2,C=CC1=CC=C(C=C1)[N+](=O)[O-],16.40248388999925,17.8
7493,C6H4-4NO2,C1=CC(=NC=C1C(=O)O)C(=O)O,10.378387889999912,10.2
7498,CH2Br ,C1=CC=C(C=C1)CBr,5.734813889999587,2.9
7500,Et ,CCC1=CC=CC=C1,-2.7993221100005874,-4.0
7501,CH=CH2,C=CC1=CC=CC=C1,1.404994889999646,1.0
7503,CH2Cl                                        ,C1=CC=C(C=C1)CCl,4.040536890000192,2.7
7504,CH2NH2,C1=CC=C(C=C1)CN,-2.9875751100001486,-3.5
7505,NC ,C1=CC=C(C=C1)C#N,15.335716889999505,14.3
7509,SMe ,C1=CC=C(C=C1)CS,1.7187498900000295,-1.5
7510,NHOH ,C1=CC(=CN=C1)CO,-0.4775351100004253,-5.1
7515,CH2NH2,CNC1=CC=CC=C1,-2.9875751100001486,-3.5
7516,NHNH2 ,C1=CC=C(C=C1)NN,-5.874121110000109,-11.2
7518,NHOH ,C1=CC=C(C=C1)NO,-0.4775351100004253,-5.1
7519,OMe,COC1=CC=CC=C1,-0.2,-5.0
7520,SMe ,CSC1=CC=CC=C1,1.7187498900000295,-1.5
7523,CH2NH2,CCC1=CC=CC=N1,-2.9875751100001486,-3.5
7529,C(Me)=CH2,CC1=CC(=CC=C1)C=C,-0.1637801100000418,-0.5
7530,CH(OH)Me ,CC1=CC(=CC=C1)OC,3.4130268899994247,1.0
7531,CH2C(OH)(Me)2,CC(C)(CC1=CC=CC=C1)O,-3.2385791100006784,-3.7
7532,OSO2Me ,C1=CC=C(C=C1)CS(=O)(=O)O,7.680094889999512,6.3
7557,CH=CHCOMe ,CC(=CC1=CC=CC=C1)C=O,7.868347890000188,8.8
7559,COOEt ,COC(=O)CC1=CC=CC=C1,5.35830788999935,7.5
7560,NHCONHEt ,CN(C)C(=O)NC1=CC=CC=C1,-1.9208081100004053,-5.8
7563,CH2OC6H5,C1=CC=C(C=C1)CC2=CC=C(C=C2)O,3.099271890000156,1.7
7572,NHCOC6H4-4OMe,C1=CC=C(C=C1)CC2=CC=C(C=C2)OC(=O)N,-0.1637801100000418,-3.4
7580,C6H4-4Me,C1=CC=C(C=C1)CC2=CC=CC=C2,-0.540286110000279,-1.2
7581,NHC6H5,C1=CC=C(C=C1)CC2=CC=CC=N2,0.0244728899995193,-4.8
7583,OC6H5,C1=CC=C(C=C1)OC2=CC=CC=C2,3.6640308899999545,0.0
7591,NHCOOEt ,CCOC(=O)NC1=CC=CC=C1,0.71473389000014,-3.0
7592,N(COMe)2,CC(=O)CC(=O)NC1=CC=CC=C1,9.562624889999585,9.0
7603,CH2NMe2,CCNC1=CC=CC(=C1)C,-2.109061109999967,-2.6
7609,CCl3,C1=CC(=C(C=C1CCl)Cl)Cl,11.319652889999947,11.7
7625,CH2NHCOMe,C1=CC=C(C=C1)CCC(=O)N,3.852283889999516,2.5
7626,CH=CHNO2,C1=CC=C(C=C1)C=C[N+](=O)[O-],16.40248388999925,17.8
7631,SCOMe ,C1=CC=C(C=C1)CC(=O)S,12.009913889999453,12.3
7632,O(CH2)4CH3,CC(C)(CCC1=CC=CC=C1)O,-1.3560491100006071,-6.2
7647,C6H4-4Et,C1=CC=C(C=C1)CCC2=CC=CC=C2,-0.4775351100004253,-1.1
7649,CH=CHCOOEt ,CCOC(=O)C=CC1=CC=CC=C1,4.668046889999844,4.9
7660,CH=CHCOOEt ,CC(=O)OCC=CC1=CC=CC=C1,4.668046889999844,4.9
7668,CH2CH2CH3,CCCC1=CC=CC=C1,-2.171812109999821,-3.1
7669,NHEt ,CNCC1=CC=CC=C1,-5.497615109999872,-11.4
7670,NHEt ,CCNC1=CC=CC=C1,-5.497615109999872,-11.4
7671,CONH2,C1=CC=C(C=C1)NC=O,7.05258488999986,8.1
